2026-07-06 01:28:40,770	WARNING algorithm_config.py:2530 -- DeprecationWarning: `config.training(learner_config_dict=..)` has been deprecated. Use `config.learners(learner_config_dict=..)` instead. This will raise an error in the future!
2026-07-06 01:28:40,771	WARNING algorithm_config.py:5177 -- You are running PPO on the new API stack! This is the new default behavior for this algorithm. If you don't want to use the new API stack, set `config.api_stack(enable_rl_module_and_learner=False,enable_env_runner_and_connector_v2=False)`. For a detailed migration guide, see here: https://docs.ray.io/en/master/rllib/new-api-stack-migration-guide.html
2026-07-06 01:28:43,250	INFO worker.py:2024 -- Started a local Ray instance.
[2026-07-06 01:28:44,078 E 25610 6814650] core_worker.cc:2149: Actor with class name: 'SingleAgentEnvRunner' and ID: '387591bdea50ac7028746b9501000000' has constructor arguments in the object store and max_restarts > 0. If the arguments in the object store go out of scope or are lost, the actor restart will fail. See https://github.com/ray-project/ray/issues/53727 for more details.
[36m(SingleAgentEnvRunner pid=25675)[0m DeprecationWarning: `RLModule(config=[RLModuleConfig object])` has been deprecated. Use `RLModule(observation_space=.., action_space=.., inference_only=.., model_config=.., catalog_class=..)` instead. This will raise an error in the future!
2026-07-06 01:28:46,045	WARNING rl_module.py:463 -- DeprecationWarning: `RLModule(config=[RLModuleConfig object])` has been deprecated. Use `RLModule(observation_space=.., action_space=.., inference_only=.., model_config=.., catalog_class=..)` instead. This will raise an error in the future!
2026-07-06 01:28:46,066	WARNING util.py:62 -- Install gputil for GPU system monitoring.
{'iter': 60, 'env_steps': 1966080, 'episode_return_mean': np.float64(722.9375), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.3177368938922882), 'wall_s': 2323.2}
{'iter': 61, 'env_steps': 1998848, 'episode_return_mean': np.float64(773.03125), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.2238854318857193), 'wall_s': 2358.8}
{'iter': 62, 'env_steps': 2031616, 'episode_return_mean': np.float64(804.0625), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.16591568291187286), 'wall_s': 2394.6}
{'iter': 63, 'env_steps': 2064384, 'episode_return_mean': np.float64(812.40625), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.1584692746400833), 'wall_s': 2430.4}
{'iter': 64, 'env_steps': 2097152, 'episode_return_mean': np.float64(814.4375), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.13198032975196838), 'wall_s': 2466.3}
{'iter': 65, 'env_steps': 2129920, 'episode_return_mean': np.float64(816.40625), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.10852256417274475), 'wall_s': 2502.1}
{'iter': 66, 'env_steps': 2162688, 'episode_return_mean': np.float64(823.28125), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.09764634817838669), 'wall_s': 2537.6}
{'iter': 67, 'env_steps': 2195456, 'episode_return_mean': np.float64(818.53125), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.09265568107366562), 'wall_s': 2573.2}
{'iter': 68, 'env_steps': 2228224, 'episode_return_mean': np.float64(822.78125), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.0717419758439064), 'wall_s': 2609.0}
{'iter': 69, 'env_steps': 2260992, 'episode_return_mean': np.float64(831.125), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.05970834568142891), 'wall_s': 2644.5}
{'iter': 70, 'env_steps': 2293760, 'episode_return_mean': np.float64(820.90625), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.05484076961874962), 'wall_s': 2680.0}
{'iter': 71, 'env_steps': 2326528, 'episode_return_mean': np.float64(826.09375), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.05235026031732559), 'wall_s': 2715.6}
{'iter': 72, 'env_steps': 2359296, 'episode_return_mean': np.float64(830.0625), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.04467305541038513), 'wall_s': 2751.4}
{'iter': 73, 'env_steps': 2392064, 'episode_return_mean': np.float64(829.65625), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.041330818086862564), 'wall_s': 2787.0}
{'iter': 74, 'env_steps': 2424832, 'episode_return_mean': np.float64(831.84375), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.03723200783133507), 'wall_s': 2822.1}
{'iter': 75, 'env_steps': 2457600, 'episode_return_mean': np.float64(831.84375), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.03932050243020058), 'wall_s': 2857.6}
{'iter': 76, 'env_steps': 2490368, 'episode_return_mean': np.float64(823.5625), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.030811576172709465), 'wall_s': 2893.4}
{'iter': 77, 'env_steps': 2523136, 'episode_return_mean': np.float64(830.09375), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.030942682176828384), 'wall_s': 2929.1}
