2026-07-06 09:03:18,473	WARNING algorithm_config.py:2530 -- DeprecationWarning: `config.training(learner_config_dict=..)` has been deprecated. Use `config.learners(learner_config_dict=..)` instead. This will raise an error in the future!
2026-07-06 09:03:18,474	WARNING algorithm_config.py:5177 -- You are running PPO on the new API stack! This is the new default behavior for this algorithm. If you don't want to use the new API stack, set `config.api_stack(enable_rl_module_and_learner=False,enable_env_runner_and_connector_v2=False)`. For a detailed migration guide, see here: https://docs.ray.io/en/master/rllib/new-api-stack-migration-guide.html
2026-07-06 09:03:31,209	INFO worker.py:2024 -- Started a local Ray instance.
[2026-07-06 09:03:35,122 E 36538 7326988] core_worker.cc:2149: Actor with class name: 'SingleAgentEnvRunner' and ID: '223b2ce134c5d6b609adce8d01000000' has constructor arguments in the object store and max_restarts > 0. If the arguments in the object store go out of scope or are lost, the actor restart will fail. See https://github.com/ray-project/ray/issues/53727 for more details.
[36m(SingleAgentEnvRunner pid=36564)[0m DeprecationWarning: `RLModule(config=[RLModuleConfig object])` has been deprecated. Use `RLModule(observation_space=.., action_space=.., inference_only=.., model_config=.., catalog_class=..)` instead. This will raise an error in the future!
2026-07-06 09:03:43,729	WARNING rl_module.py:463 -- DeprecationWarning: `RLModule(config=[RLModuleConfig object])` has been deprecated. Use `RLModule(observation_space=.., action_space=.., inference_only=.., model_config=.., catalog_class=..)` instead. This will raise an error in the future!
2026-07-06 09:03:43,859	INFO trainable.py:154 -- Trainable.setup took 25.373 seconds. If your trainable is slow to initialize, consider setting reuse_actors=True to reduce actor creation overheads.
2026-07-06 09:03:43,859	WARNING util.py:62 -- Install gputil for GPU system monitoring.
{'iter': 70, 'env_steps': 2294880, 'episode_return_mean': np.float64(682.5208333333333), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.006383182015269995), 'wall_s': 3871.3}
{'iter': 71, 'env_steps': 2327664, 'episode_return_mean': nan, 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.004904147703200579), 'wall_s': 3916.2}
{'iter': 72, 'env_steps': 2360448, 'episode_return_mean': np.float64(684.2708333333334), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.0066673243418335915), 'wall_s': 3959.7}
{'iter': 73, 'env_steps': 2393232, 'episode_return_mean': np.float64(683.2083333333334), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.005803568754345179), 'wall_s': 4005.8}
{'iter': 74, 'env_steps': 2426016, 'episode_return_mean': nan, 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.005402643233537674), 'wall_s': 4047.7}
{'iter': 75, 'env_steps': 2458800, 'episode_return_mean': np.float64(685.1875), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.004296350758522749), 'wall_s': 4081.8}
{'iter': 76, 'env_steps': 2491584, 'episode_return_mean': np.float64(685.2708333333334), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.0035616657696664333), 'wall_s': 4116.8}
{'iter': 77, 'env_steps': 2524368, 'episode_return_mean': nan, 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.0036265826784074306), 'wall_s': 4153.2}
done -> /Users/alex/Software/XOR/RLlib Harnes Beta/results/phase2/b_r1_g0/seed1
[36m(SingleAgentEnvRunner pid=36570)[0m DeprecationWarning: `RLModule(config=[RLModuleConfig object])` has been deprecated. Use `RLModule(observation_space=.., action_space=.., inference_only=.., model_config=.., catalog_class=..)` instead. This will raise an error in the future![32m [repeated 3x across cluster] (Ray deduplicates logs by default. Set RAY_DEDUP_LOGS=0 to disable log deduplication, or see https://docs.ray.io/en/master/ray-observability/user-guides/configure-logging.html#log-deduplication for more options.)[0m
