2026-07-06 09:45:05,419	WARNING algorithm_config.py:2530 -- DeprecationWarning: `config.training(learner_config_dict=..)` has been deprecated. Use `config.learners(learner_config_dict=..)` instead. This will raise an error in the future!
2026-07-06 09:45:05,420	WARNING algorithm_config.py:5177 -- You are running PPO on the new API stack! This is the new default behavior for this algorithm. If you don't want to use the new API stack, set `config.api_stack(enable_rl_module_and_learner=False,enable_env_runner_and_connector_v2=False)`. For a detailed migration guide, see here: https://docs.ray.io/en/master/rllib/new-api-stack-migration-guide.html
2026-07-06 09:45:08,289	INFO worker.py:2024 -- Started a local Ray instance.
[2026-07-06 09:45:09,145 E 37725 7368773] core_worker.cc:2149: Actor with class name: 'SingleAgentEnvRunner' and ID: '8b0497f13ce866c030c4e79201000000' has constructor arguments in the object store and max_restarts > 0. If the arguments in the object store go out of scope or are lost, the actor restart will fail. See https://github.com/ray-project/ray/issues/53727 for more details.
2026-07-06 09:45:11,739	WARNING rl_module.py:463 -- DeprecationWarning: `RLModule(config=[RLModuleConfig object])` has been deprecated. Use `RLModule(observation_space=.., action_space=.., inference_only=.., model_config=.., catalog_class=..)` instead. This will raise an error in the future!
[36m(SingleAgentEnvRunner pid=37758)[0m DeprecationWarning: `RLModule(config=[RLModuleConfig object])` has been deprecated. Use `RLModule(observation_space=.., action_space=.., inference_only=.., model_config=.., catalog_class=..)` instead. This will raise an error in the future!
2026-07-06 09:45:11,787	WARNING util.py:62 -- Install gputil for GPU system monitoring.
{'iter': 69, 'env_steps': 2262096, 'episode_return_mean': np.float64(377.5981421010059), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(1.7217936515808105), 'wall_s': 164.8}
{'iter': 70, 'env_steps': 2294880, 'episode_return_mean': np.float64(377.1399321147779), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(1.7158141136169434), 'wall_s': 166.7}
{'iter': 71, 'env_steps': 2327664, 'episode_return_mean': nan, 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(1.7151156663894653), 'wall_s': 168.6}
{'iter': 72, 'env_steps': 2360448, 'episode_return_mean': np.float64(376.87929652157163), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(1.7087552547454834), 'wall_s': 170.5}
{'iter': 73, 'env_steps': 2393232, 'episode_return_mean': np.float64(380.540181663914), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(1.6967474222183228), 'wall_s': 173.1}
{'iter': 74, 'env_steps': 2426016, 'episode_return_mean': nan, 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(1.6918617486953735), 'wall_s': 175.7}
{'iter': 75, 'env_steps': 2458800, 'episode_return_mean': np.float64(381.6596103473589), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(1.6851706504821777), 'wall_s': 177.9}
{'iter': 76, 'env_steps': 2491584, 'episode_return_mean': np.float64(381.9016136419473), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(1.6806432008743286), 'wall_s': 180.2}
{'iter': 77, 'env_steps': 2524368, 'episode_return_mean': nan, 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(1.6798213720321655), 'wall_s': 182.4}
{'iter': 78, 'env_steps': 2557152, 'episode_return_mean': np.float64(378.59382241724813), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(1.6768925189971924), 'wall_s': 184.6}
{'iter': 79, 'env_steps': 2589936, 'episode_return_mean': np.float64(379.6460788599979), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(1.6707717180252075), 'wall_s': 186.9}
{'iter': 80, 'env_steps': 2622720, 'episode_return_mean': nan, 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(1.6618863344192505), 'wall_s': 188.8}
{'iter': 81, 'env_steps': 2655504, 'episode_return_mean': np.float64(379.70338646481406), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(1.6603033542633057), 'wall_s': 191.3}
{'iter': 82, 'env_steps': 2688288, 'episode_return_mean': np.float64(381.13535761243986), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(1.6513384580612183), 'wall_s': 193.7}
{'iter': 83, 'env_steps': 2721072, 'episode_return_mean': nan, 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(1.6396455764770508), 'wall_s': 196.3}
{'iter': 84, 'env_steps': 2753856, 'episode_return_mean': np.float64(383.16214582661934), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(1.6340999603271484), 'wall_s': 198.7}
